k, S, S(std), m, m(std), e^(-m), t_average, t_average(std), t_last, t_last(std), t_average/t_last
1,0.018722922,0.4279512526189739,9.00728,3.835032059039385,0.0,7.5570955,3.680835455721922,12.191,5.279156873895142,0.61989135
2,9.96E-5,0.03151042280775068,10.561245,1.7083914289443027,0.0,7.7151937,1.7078474873608704,13.4192,2.10890961210875,0.5749369
3,0.0,0.0,11.72584,1.691669751933374,0.0,7.715508,1.6767958479551421,14.4142,2.0714466371359195,0.5352713
4,0.0,0.0,12.777555,1.6898408125218272,0.0,7.715007,1.6635743620670616,15.4121,2.038932357668878,0.50058115
5,0.0,0.0,13.797725,1.712928414879426,0.0,7.721911,1.6816414756639835,16.4241,2.0910737883119483,0.47015733
